id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1452713480314888195,1452713480314888195,2021-10-25 19:07:38 UTC,2021-10-25,19:07:38,+0000,2699628040,guibit,guilherme,,acho ótima a forma como o bolsonaro tenta atrasar de todas as formas a vacinação do covid aqui no brasil na intenção de não sofrer as consequências pelo tanto de merda q “mascarou” com a pandemia,pt,[],[],[],0,0,0,[],[],https://twitter.com/guibit/status/1452713480314888195,False,,0,,,,,,,,[],,,,
1452712230190043152,1452307188937019401,2021-10-25 19:02:40 UTC,2021-10-25,19:02:40,+0000,925131087021576192,nelsonneisalves,nelsinho🇧🇷,,"@Ferris_Charliel @wickedgmes_ @o_brno @DaniloDNobrega @rafinhabastos Sendo a mortalidade por covid 19 a caudora de uma pandemia global e 600 mil mortos só no nosso pais no meio tempo de 1,5 anos, eu acho que ela é mais relevante e mais urgente de ser discutida do que qualquer outra coisa, já a mortalidade por vacinação é irrisória.",pt,[],[],[],0,0,0,[],[],https://twitter.com/NelsonNeisAlves/status/1452712230190043152,False,,0,,,,,,,,"[{'screen_name': 'Ferris_Charliel', 'name': 'Charliel Ferris®', 'id': '850419180419653634'}, {'screen_name': 'wickedgmes_', 'name': '🕷', 'id': '1390022704967954433'}, {'screen_name': 'o_brno', 'name': 'Bruno 🏹🐍', 'id': '369160916'}, {'screen_name': 'DaniloDNobrega', 'name': 'D', 'id': '746713883478470657'}, {'screen_name': 'rafinhabastos', 'name': 'Rafinha Bastos', 'id': '18297088'}]",,,,
1452710143372763137,1452590978657923077,2021-10-25 18:54:22 UTC,2021-10-25,18:54:22,+0000,1056952836615999491,raisouzaoficial,Rai Souza,,"@luizcjandrade @OsmarTerra @geraldo1963 E quem já contraiu o vírus, se curou e ficou imune? lembrando que a vacinação se iniciou no segundo ano da pandemia.",pt,[],[],[],1,0,0,[],[],https://twitter.com/raisouzaoficial/status/1452710143372763137,False,,0,,,,,,,,"[{'screen_name': 'luizcjandrade', 'name': 'Luiz Andrade 🇧🇷', 'id': '388557667'}, {'screen_name': 'OsmarTerra', 'name': 'Osmar Terra', 'id': '52722451'}, {'screen_name': 'geraldo1963', 'name': 'Geraldo Saldanha Bolsonaro🇧🇷🇧🇷🇧🇷', 'id': '954828817'}]",,,,
1452710098774761481,1452710098774761481,2021-10-25 18:54:12 UTC,2021-10-25,18:54:12,+0000,996502717639127043,pactodemocracia,Pacto pela Democracia,,FAKE NEWS - O presidente Jair Bolsonaro tem usado as redes sociais para disseminar desinformação sobre a pandemia de #Covid19 e a vacinação. Gestos irresponsáveis como esses colocam em risco a vida dos brasileiros e merecem responsabilização.    https://t.co/DiidMz8Hln,pt,[],['https://www1.folha.uol.com.br/equilibrioesaude/2021/10/facebook-e-instagram-derrubam-live-em-que-bolsonaro-associou-aids-a-vacina-da-covid.shtml'],[],0,0,1,['covid19'],[],https://twitter.com/PactoDemocracia/status/1452710098774761481,False,,0,,,,,,,,[],,,,
1452703168786276355,1452626384573059085,2021-10-25 18:26:40 UTC,2021-10-25,18:26:40,+0000,1391127743987961856,killmongu3r,KillMonguer,,@YugibearCReal @Hialley @monark Nossa quanto malabarismo vc precisa ir lá na Coréia do Norte pq tiraram um vídeo absurdo de um presidente desestimulado nitidamente a vacinação em uma pandemia? Que drama. Kkkkkkk Ohhh MEU DEUS ONDE VAMOS PARAR AMANHÃ SEREMOS UMA CORÉIA OU UMA VENEZUELAAAAAAAAa,pt,[],[],[],1,0,0,[],[],https://twitter.com/Killmongu3r/status/1452703168786276355,False,,0,,,,,,,,"[{'screen_name': 'YugibearCReal', 'name': 'Yugibear Creations', 'id': '891735365148717056'}, {'screen_name': 'Hialley', 'name': 'Hialley Gouveia', 'id': '15669034'}, {'screen_name': 'monark', 'name': '♔ Monark', 'id': '242967720'}]",,,,
1452701259383939077,1452701257551040523,2021-10-25 18:19:04 UTC,2021-10-25,18:19:04,+0000,1047582185535012867,fidadinalva,antarctica de pirapora,,"A luta principal hoje tinha que ser pela vacinação da África, isso é muito mais importante pro fim da pandemia do que EPI ao ar livre em determinados países",pt,[],[],[],0,0,0,[],[],https://twitter.com/fidadinalva/status/1452701259383939077,False,,0,,,,,,,,[],,,,
1452697216850792449,1452697216850792449,2021-10-25 18:03:00 UTC,2021-10-25,18:03:00,+0000,1347589475191451650,hubespecialista,O Especialista,,"Para reforçar o combate à pandemia diante de novos surtos de covid-19, a China vai iniciar a vacinação de crianças de 3 a 11 anos de idade #COVID19 #China  https://t.co/x7Jdz60LHP",pt,[],['https://oespecialista.com.br/china-vacina-criancas-a-partir-dos-tres-anos-de-idade-contra-a-covid/'],[],0,0,0,"['covid19', 'china']",[],https://twitter.com/hubespecialista/status/1452697216850792449,False,,0,,,,,,,,[],,,,
1452694729448099847,1452694729448099847,2021-10-25 17:53:07 UTC,2021-10-25,17:53:07,+0000,752877676763963392,edivaldeandrade,Edival de Andrade,,"Estou para ver a hora em que o tuiter YouTube e Google em geral proíbam assuntos como pandemia, coronavirus, vacinação e contaminação até que passe o carnaval.",pt,[],[],[],0,0,0,[],[],https://twitter.com/edivaldeandrade/status/1452694729448099847,False,,0,,,,,,,,[],,,,
1452693699499106305,1452693699499106305,2021-10-25 17:49:02 UTC,2021-10-25,17:49:02,+0000,1338467939259985927,maxmigu97528731,Max Miguel,,"João Dória foi muito importante no combate a pandemia, sobretudo no quesito vacinação; mas a sua rejeição não diminui e isso se dá  pelo marketing pessoal exacerbado, e esse vídeo, além de corroborar, nos mostra um tanto mais daquele que pretende ser Presidente da República.  https://t.co/J3hwUKTOWo",pt,[],[],[],0,0,0,[],[],https://twitter.com/MaxMigu97528731/status/1452693699499106305,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1452693539293437956/pu/img/-yC8BBMzq7dJR_6j.jpg,,,,,,,[],,,,
1452692810533048325,1452692810533048325,2021-10-25 17:45:30 UTC,2021-10-25,17:45:30,+0000,562128533,academiamedica,Academia Médica,,"Relatório da @fiocruz aponta para a continuidade da redução da transmissão do Sars-CoV-2, com queda do número de óbitos e de casos graves da pandemia, porém reitera a necessidade das medidas de higiene e a importância da vacinação.  Veja na íntegra:  https://t.co/Dxe5EpfYGm",pt,"[{'screen_name': 'fiocruz', 'name': 'fiocruz', 'id': '20045580'}]",['https://academiamedica.com.br/blog/boletim-epidemiologico-da-fiocruz-16-a-20-de-outubro-da-covid'],[],0,0,1,[],[],https://twitter.com/AcademiaMedica/status/1452692810533048325,False,,0,,,,,,,,[],,,,
